entno,corpname,code,crno
00260985,한빛네트,036720,1101111443079
00264529,엔플렉스,040130,1101111601750
00358545,동서정보기술,055000,1101111259525
00231567,애드모바일,032600,1101111166837
00247939,씨모스,037600,1201110118077
00359614,리더컴,056140,1101111571755
00153551,허메스홀딩스,012400,1101110216047
00344746,유티엑스,045880,1201110163250
00261188,글로포스트,037830,1101111569958
00268020,쏠라엔텍,030390,1101110191900
00269287,보홍,041320,1101110990980
00475286,동북아1호선박투자회사,078420,1801110473809
00250775,에듀아크,046350,1201110063868
00114321,데코,013650,1101110242985
00191108,엘앤씨피,015390,1201110038697
00167378,희훈디앤지,019640,1101110513609
00225210,퓨쳐인포넷,058690,1101110828933
00223346,쓰리디넷,035400,1101110829501
00174129,제일저축은행,024100,1101110090350
00114826,제일창업투자,026540,1701110044834
00173333,현대DSF,016510,1812110002811
00687599,네프로아이티,950030,
00256292,자강,036790,1101111303728
00271431,케이엠에스,038830,1101110954829
00154727,에버리소스,020070,1201110041492
00246189,제이에스,037110,1312110003653
00154204,태창기업,007490,1801110018663
00152631,에이치비이에너지,017300,1753110001281
00107923,남한제지,001950,1101110027303
00358095,코어비트,056850,1301110022929
00510215,동북아8호선박투자회사,082110,1801110501709
00347619,한국통신데이타,045760,1101111631103
00372013,케너텍,062730,1101111465213
00353735,다휘,055250,1159110011511
00186540,코오롱아이넷,022520,1101110712350
00128759,캠브리지코오롱,004620,1341110000517
00535588,네오세미테크,089240,1501110040779
00264981,디에이치패션,045260,1101111468952
00231521,핸디소프트,032380,1101110747943
00159908,케이엠에이치,009690,1101110161333
00259493,씨엘엘씨디,035710,1101111053935
00359641,현대푸드시스템,114410,1345110037695
00103325,고제,002540,1101110036990
00161639,메리츠종합금융,012420,1101110216360
00211271,제넥셀세인,034660,1341110030316
00388272,쓰리디월드,065340,1341110072649
00264796,스톰이앤에프,043680,1601110041733
00134909,소예,035010,1311110002045
00236368,엠엔에프씨,048640,1648110007452
00684547,하이트맥주,103150,1101113927427
00251385,보광티에스,066690,1746110032166
00262682,아인스엠앤엠,040740,1101111697832
00234555,씨엔씨엔터프라이즈,038420,1101111044182
00507257,아이알디,084810,1101111775745
00417963,바이나믹,067850,1101111774622
00543523,코크렙제7호위탁관리부동산투자회사,086720,1101113329631
00300566,엔빅스,054170,1101110890023
00299376,선팩테크,054010,1701110116964
00112068,마이크로닉스,001190,1901110000155
00257194,블루스톤디앤아이,033720,1101110850382
00477372,신지소프트,078700,1101111916836
00465410,맥쿼리센트럴오피스기업구조조정부동산투자회사,076850,1101112914342
00331760,테스텍,048510,1615110021380
00200761,중앙디자인,030030,1101110760937
00268297,에코페트로시스템,042870,1501110030093
00161301,한림창업투자,021060,1601110015572
00237260,헤쎄나,036270,1243110028898
00297970,미래에셋굿라이프혼합형자녀를위한투자회사10-1,037510,1101111815228
00107358,일공공일안경콘택트,032030,1801110057182
00115427,신동방CP,004660,1101110068555
00267474,지앤알,043630,1748110007503
00134051,셀런,013240,1701110013966
00596066,한국베트남15-1유전해외자원개발투자회사,093820,1101113553785
00347363,에이치원바이오,052310,1101111325160
00150226,씨앤중공업,008400,1101110302440
00152914,FnC코오롱,001370,1101110003973
00158839,제너비오믹스,017010,1101110350762
00159281,케드콤,011050,1101110191752
00210537,지엔텍홀딩스,065410,1746110009892
00240370,동부씨엔아이,044640,1101111054339
00247887,아이피에스,051820,1347110016439
00268358,에스브이에이치,046240,1801110241743
00316488,제이콤,060750,1352110004813
00264130,옥션,043790,1101111253569
00540304,네이쳐글로벌,088020,1101111965875
00617299,GB블루오션베트남주식혼합형투자회사1호,094950,1101113593757
00262275,엠씨티티코어,052210,1101111368938
00200798,에이스앤파트너스,032930,1101110305858
00335924,지앤디윈텍,061050,1101111552812
00111591,인터피온반도체,014010,1115110001788
00189343,솔로몬저축은행,007800,1101110128341
00252588,엠트론스토리지테크놀로지,046320,1101110736194
00267997,에스티앤아이,031800,1344110006030
00367376,사이노젠,064060,1101110739487
00299686,유퍼트,060670,1101110527650
00463050,엑스로드,074140,1101111841926
00238913,선우중공업,068770,1101110543614
00107446,남양,003020,1801110006569
00114303,엘지데이콤,015940,1101110315948
00318617,LG파워콤,045820,1101111863889
00267775,동산진흥,031960,1101110174865
00394574,티이씨,067950,1301110049121
00110176,한국기술산업,008320,1301110006949
00349787,지케이파워,054020,1101111819189
